DOCID | DOC1 |DOC2
|1|0
a|0|1
absenc|1|0
acceler|0|1
across|0|1
action|0|1
activ|0|1
add|0|1
addit|1|0
address|1|0
against|0|1
aggreg|1|0
alway|1|0
analyt|0|1
and|0|1
appli|1|0
are|0|1
as|1|0
attribut|1|0
avail|1|0
bank|1|0
becom|1|0
between|0|1
birth|1|0
both|1|0
busi|1|0
bust|0|1
by|0|1
can|1|0
case|1|0
challeng|1|0
claim|0|1
commit|0|1
common|1|0
comparison|1|0
connect|1|0
correspond|1|0
crime|0|1
crimin|0|1
critic|0|1
data|0|1
databas|1|0
date|1|0
determin|1|0
differ|1|0
dimens|0|1
discov|0|1
discoveri|0|1
dispar|1|0
do|1|0
dot|1|0
engin|0|1
enterpris|0|1
entiti|0|1
error|1|0
even|1|0
exact|1|0
facilit|1|0
fals|1|0
fico|0|1
fight|0|1
financi|0|1
for|1|0
fraud|0|1
fraudul|0|1
from|1|0
goal|1|0
govern|0|1
health|0|1
healthcar|0|1
high|0|1
howev|1|0
ident|0|1
identifi|1|0
in|0|1
inabl|1|0
increas|0|1
industri|0|1
inform|1|0
insur|0|1
is|1|0
it|1|0
likelihood|1|0
linkag|1|0
list|1|0
match|1|0
methodolog|1|0
more|0|1
multipl|1|0
name|1|0
network|0|1
no|1|0
non|1|0
not|1|0
numer|0|1
obvious|1|0
of|0|1
often|1|0
or|1|0
organ|0|1
out|0|1
pair|1|0
parti|0|1
peopl|0|1
perpetr|0|1
posit|1|0
precis|1|0
privat|0|1
proactiv|0|1
probabl|1|0
problem|1|0
problemat|1|0
process|1|0
produc|1|0
prone|1|0
provid|0|1
public|0|1
reconcil|1|0
record|1|0
reduc|0|1
refer|1|0
relat|1|0
relationship|0|1
resolut|0|1
resolv|0|1
reveal|0|1
ring|0|1
safe|1|0
same|1|0
sbs|1|0
score|1|0
screen|1|0
sector|0|1
signific|0|1
silo|1|0
social|0|1
solut|1|0
solv|1|0
sophist|0|1
sourc|1|0
such|1|0
suffici|1|0
system|1|0
target|0|1
that|1|0
the|0|1
there|1|0
third|0|1
through|0|1
to|0|1
true|0|1
understand|1|0
uniqu|1|0
use|0|1
valu|1|0
variat|1|0
watch|1|0
when|1|0
which|1|0
who|1|0
wise|1|0
with|1|0
your|1|0
